,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2015,609789,839,270,32.18%,86,10.25%,807,96.19%
2015,609829,490,177,36.12%,51,10.41%,469,95.71%
2015,609866,834,81,9.71%,105,12.59%,236,28.30%
2015,609893,673,102,15.16%,125,18.57%,379,56.32%
2015,609959,651,197,30.26%,29,4.45%,619,95.08%
2015,610176,504,0,0.00%,49,9.72%,497,98.61%
2015,609898,"1,550",571,36.84%,146,9.42%,"1,521",98.13%
2015,609718,"1,568",84,5.36%,297,18.94%,"1,346",85.84%
2015,609919,512,0,0.00%,48,9.38%,506,98.83%
2015,610263,778,1,0.13%,87,11.18%,776,99.74%
2015,610228,324,227,70.06%,44,13.58%,319,98.46%
2015,609964,642,305,47.51%,68,10.59%,639,99.53%
2015,610026,673,93,13.82%,148,21.99%,469,69.69%
2015,610207,300,0,0.00%,24,8.00%,207,69.00%
2015,609694,920,90,9.78%,91,9.89%,891,96.85%
2015,609971,468,0,0.00%,70,14.96%,463,98.93%
2015,609975,541,11,2.03%,53,9.80%,533,98.52%
2015,609782,586,34,5.80%,56,9.56%,140,23.89%
2015,610126,522,7,1.34%,62,11.88%,419,80.27%
2015,610054,864,242,28.01%,100,11.57%,803,92.94%
2015,609710,760,1,0.13%,149,19.61%,714,93.95%
2015,610180,459,5,1.09%,76,16.56%,448,97.60%
2015,609723,514,1,0.19%,135,26.26%,431,83.85%
2015,609954,416,0,0.00%,58,13.94%,415,99.76%
2015,610111,890,303,34.04%,100,11.24%,784,88.09%
2015,610184,680,328,48.24%,86,12.65%,675,99.26%
2015,610269,470,153,32.55%,101,21.49%,461,98.09%
2015,610130,342,1,0.29%,30,8.77%,304,88.89%
2015,609864,404,2,0.50%,68,16.83%,370,91.58%
2015,609937,784,158,20.15%,107,13.65%,372,47.45%
2015,610225,290,1,0.34%,45,15.52%,273,94.14%
2015,610199,269,9,3.35%,29,10.78%,236,87.73%
2015,609828,398,54,13.57%,42,10.55%,204,51.26%
2015,610159,951,418,43.95%,90,9.46%,912,95.90%
2015,609865,601,213,35.44%,82,13.64%,591,98.34%
2015,610313,770,82,10.65%,105,13.64%,709,92.08%
2015,609950,746,526,70.51%,86,11.53%,728,97.59%
2015,610242,499,167,33.47%,99,19.84%,476,95.39%
2015,609938,"1,169",484,41.40%,186,15.91%,"1,158",99.06%
2015,610015,285,137,48.07%,54,18.95%,278,97.54%
2015,609925,416,0,0.00%,27,6.49%,394,94.71%
2015,610043,452,20,4.42%,54,11.95%,429,94.91%
2015,610218,300,2,0.67%,30,10.00%,289,96.33%
2015,610041,"1,370",370,27.01%,206,15.04%,"1,230",89.78%
2015,610019,266,0,0.00%,40,15.04%,243,91.35%
2015,610129,584,258,44.18%,85,14.55%,573,98.12%
2015,610022,784,412,52.55%,152,19.39%,760,96.94%
2015,610000,587,1,0.17%,91,15.50%,586,99.83%
2015,610016,251,0,0.00%,41,16.33%,126,50.20%
2015,609716,887,168,18.94%,149,16.80%,853,96.17%
2015,609746,"1,757",16,0.91%,132,7.51%,"1,268",72.17%
2015,400044,722,12,1.66%,82,11.36%,695,96.26%
2015,400177,109,3,2.75%,4,3.67%,106,97.25%
2015,400163,165,0,0.00%,22,13.33%,156,94.55%
2015,400146,233,0,0.00%,23,9.87%,225,96.57%
2015,400045,312,0,0.00%,29,9.29%,264,84.62%
2015,609719,"1,347",46,3.41%,177,13.14%,"1,188",88.20%
2015,610368,549,1,0.18%,126,22.95%,540,98.36%
2015,610033,553,29,5.24%,58,10.49%,193,34.90%
2015,610520,605,54,8.93%,90,14.88%,310,51.24%
2015,609910,"1,402",617,44.01%,157,11.20%,"1,347",96.08%
2015,610133,654,5,0.76%,61,9.33%,647,98.93%
2015,610034,418,0,0.00%,42,10.05%,417,99.76%
2015,610024,709,356,50.21%,66,9.31%,700,98.73%
