,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2015,609896,352,23,6.53%,26,7.39%,113,32.10%
2015,610002,241,0,0.00%,31,12.86%,218,90.46%
2015,610295,338,1,0.30%,39,11.54%,318,94.08%
2015,610220,625,78,12.48%,55,8.80%,279,44.64%
2015,609715,"2,290",471,20.57%,320,13.97%,"2,205",96.29%
2015,610321,108,19,17.59%,19,17.59%,106,98.15%
2015,609895,306,0,0.00%,44,14.38%,241,78.76%
2015,400078,352,0,0.00%,36,10.23%,311,88.35%
2015,400075,566,4,0.71%,31,5.48%,392,69.26%
2015,400076,342,2,0.58%,19,5.56%,273,79.82%
2015,400077,650,1,0.15%,106,16.31%,554,85.23%
2015,400112,576,251,43.58%,37,6.42%,569,98.78%
2015,400081,287,114,39.72%,26,9.06%,278,96.86%
2015,400082,574,215,37.46%,61,10.63%,544,94.77%
2015,400120,576,207,35.94%,46,7.99%,526,91.32%
2015,400083,413,166,40.19%,34,8.23%,408,98.79%
2015,400121,729,266,36.49%,94,12.89%,697,95.61%
2015,400084,289,132,45.67%,31,10.73%,281,97.23%
2015,400101,552,251,45.47%,50,9.06%,548,99.28%
2015,400153,519,255,49.13%,53,10.21%,514,99.04%
2015,400114,276,125,45.29%,47,17.03%,263,95.29%
2015,400085,666,96,14.41%,87,13.06%,634,95.20%
2015,400089,569,259,45.52%,38,6.68%,555,97.54%
2015,400080,638,245,38.40%,49,7.68%,593,92.95%
2015,400079,637,221,34.69%,46,7.22%,607,95.29%
2015,400149,637,133,20.88%,71,11.15%,629,98.74%
2015,610394,326,18,5.52%,85,26.07%,313,96.01%
2015,400086,477,0,0.00%,100,20.96%,386,80.92%
2015,400105,479,0,0.00%,79,16.49%,396,82.67%
2015,400102,418,1,0.24%,87,20.81%,373,89.23%
2015,610504,176,59,33.52%,57,32.39%,154,87.50%
2015,609944,347,76,21.90%,34,9.80%,240,69.16%
2015,610518,254,5,1.97%,50,19.69%,251,98.82%
2015,610363,"1,663",205,12.33%,129,7.76%,"1,079",64.88%
2015,610095,573,28,4.89%,79,13.79%,379,66.14%
2015,609680,901,4,0.44%,58,6.44%,309,34.30%
2015,609955,359,0,0.00%,58,16.16%,355,98.89%
2015,609855,365,148,40.55%,218,59.73%,339,92.88%
2015,610179,"1,019",236,23.16%,85,8.34%,826,81.06%
2015,610121,460,35,7.61%,71,15.43%,427,92.83%
2015,609740,546,56,10.26%,140,25.64%,520,95.24%
2015,610032,329,0,0.00%,46,13.98%,308,93.62%
2015,609727,614,4,0.65%,114,18.57%,595,96.91%
2015,609978,362,0,0.00%,32,8.84%,354,97.79%
2015,610100,630,178,28.25%,76,12.06%,625,99.21%
2015,610542,738,319,43.22%,66,8.94%,673,91.19%
2015,609755,"2,209",24,1.09%,155,7.02%,917,41.51%
2015,610230,428,43,10.05%,52,12.15%,87,20.33%
2015,610251,380,0,0.00%,53,13.95%,376,98.95%
2015,610101,860,103,11.98%,72,8.37%,172,20.00%
2015,610109,252,2,0.79%,23,9.13%,161,63.89%
2015,610143,246,0,0.00%,31,12.60%,242,98.37%
2015,609945,764,285,37.30%,94,12.30%,714,93.46%
2015,610364,212,5,2.36%,31,14.62%,208,98.11%
2015,609884,846,249,29.43%,105,12.41%,536,63.36%
2015,609967,470,164,34.89%,99,21.06%,467,99.36%
2015,609994,"1,166",433,37.14%,133,11.41%,"1,135",97.34%
2015,609812,247,4,1.62%,70,28.34%,244,98.79%
2015,610136,328,55,16.77%,44,13.41%,184,56.10%
2015,610142,730,94,12.88%,93,12.74%,443,60.68%
2015,610153,376,1,0.27%,90,23.94%,359,95.48%
2015,610167,817,342,41.86%,79,9.67%,816,99.88%
2015,609734,"3,233",194,6.00%,392,12.12%,"1,979",61.21%
2015,609698,952,76,7.98%,187,19.64%,886,93.07%
2015,610104,652,71,10.89%,83,12.73%,268,41.10%
2015,609678,"1,432",33,2.30%,126,8.80%,648,45.25%
2015,610193,501,43,8.58%,101,20.16%,497,99.20%
2015,609949,"1,262",323,25.59%,156,12.36%,"1,181",93.58%
2015,610097,986,494,50.10%,77,7.81%,968,98.17%
2015,610123,380,30,7.89%,105,27.63%,353,92.89%
2015,609711,349,1,0.29%,89,25.50%,344,98.57%
2015,610172,360,2,0.56%,28,7.78%,358,99.44%
2015,609844,446,0,0.00%,45,10.09%,444,99.55%
2015,610308,110,41,37.27%,100,90.91%,93,84.55%
2015,610574,150,1,0.67%,8,5.33%,145,96.67%
2015,610088,793,293,36.95%,88,11.10%,780,98.36%
2015,609977,215,0,0.00%,11,5.12%,208,96.74%
2015,610392,341,65,19.06%,45,13.20%,340,99.71%
2015,400123,195,0,0.00%,32,16.41%,194,99.49%
2015,400124,174,0,0.00%,32,18.39%,160,91.95%
2015,400125,166,35,21.08%,32,19.28%,164,98.80%
2015,400126,150,12,8.00%,23,15.33%,150,100.00%
2015,400127,180,1,0.56%,33,18.33%,168,93.33%
2015,400128,180,0,0.00%,41,22.78%,179,99.44%
2015,400129,137,0,0.00%,18,13.14%,116,84.67%
2015,400150,192,0,0.00%,34,17.71%,178,92.71%
2015,400130,250,0,0.00%,47,18.80%,247,98.80%
2015,400131,170,10,5.88%,40,23.53%,165,97.06%
2015,400133,323,1,0.31%,57,17.65%,307,95.05%
2015,400134,207,18,8.70%,30,14.49%,188,90.82%
2015,400135,213,35,16.43%,32,15.02%,209,98.12%
2015,400136,190,2,1.05%,26,13.68%,172,90.53%
2015,400139,342,0,0.00%,62,18.13%,341,99.71%
2015,400141,213,11,5.16%,24,11.27%,198,92.96%
2015,400142,139,3,2.16%,24,17.27%,128,92.09%
2015,400143,160,10,6.25%,27,16.88%,154,96.25%
2015,400144,172,2,1.16%,46,26.74%,171,99.42%
2015,400145,250,0,0.00%,51,20.40%,242,96.80%
2015,400087,336,2,0.60%,70,20.83%,293,87.20%
